ID,carat,cut,color,clarity,depth,table,price,x,y,z
93,1,Ideal,E,SI1,62.6,56,4480,6.37,6.29,3.96
96,1,Ideal,D,IF,60.7,57,16469,6.44,6.48,3.92
26,1.01,Ideal,D,SI1,62,57,5832,6.37,6.44,3.97
26,1.01,Ideal,D,SI1,62,57,5832,6.37,6.44,3.97
67,1.01,Premium,G,SI2,60.1,60,4270,6.48,6.44,3.88
79,1.01,Very Good,I,SI1,62.1,59,4418,6.36,6.42,3.97
99,1.01,Premium,E,VS1,61.2,61,6670,6.41,6.33,3.9
90,1.02,Good,D,SI2,57.5,62,NA,6.6,6.62,3.8
100,1.02,Very Good,F,VS1,62.7,55,7539,6.37,6.43,4.01
40,1.03,Ideal,F,VVS2,62.5,56,9254,6.46,6.53,4.06
71,1.03,Premium,G,VS1,60.7,58,NA,6.55,6.5,3.96
46,1.04,Ideal,J,SI2,60.4,57,3762,6.55,6.6,3.97
65,1.04,Very Good,F,VS2,60.1,59,6342,6.56,6.61,3.96
69,1.05,Premium,F,VS1,61,58,7879,6.6,6.55,4.01
15,1.06,Premium,H,VS2,62,58,5783,6.5,6.57,4.05
83,1.06,Premium,I,SI2,60.9,58,4096,6.6,6.56,4.01
13,1.07,Ideal,G,VVS2,61.5,56,8707,6.58,6.6,4.05
7,1.1,Premium,D,SI2,62.4,58,4640,5.74,5.78,3.56
23,1.13,Ideal,E,I1,62,55,3797,6.7,6.66,4.14
74,1.14,Ideal,F,VS1,61.1,55,8953,6.74,6.78,4.13
47,1.15,Premium,G,VVS1,60.8,58,8863,6.74,6.77,4.11
86,1.2,Very Good,I,VS2,62.5,59,5724,6.73,6.77,4.22
4,1.21,Very Good,I,VS1,59.4,60,5865,6.9,6.97,4.12
21,1.21,Premium,H,SI2,62.1,56,5082,6.8,6.76,4.21
11,1.23,Premium,F,VS2,61.2,58,9333,6.93,6.87,4.22
94,1.24,Ideal,H,VS1,61.6,56,8299,6.88,6.91,4.25
84,1.26,Ideal,D,SI2,61.6,56,5412,6.99,6.95,4.3
44,1.27,Premium,I,SI2,62,60,4836,6.91,6.86,4.27
89,1.31,Premium,E,SI1,62.4,58,8767,7.03,6.95,4.36
75,1.32,Very Good,I,VS1,63.5,58,6793,6.89,6.94,4.39
54,1.33,Premium,I,NA,61.5,58,6963,7.02,7.06,4.33
62,1.33,Ideal,D,VS2,62.8,56,11409,7.08,7.03,4.43
16,1.5,Very Good,D,SI1,61,61,11756,7.28,7.32,4.45
28,1.5,Good,G,I1,64,61,4731,7.15,7.04,0
25,1.51,Fair,I,I1,65.7,61,5074,7.08,7.02,4.63
51,1.51,Very Good,I,VVS2,61.9,56,9416,7.35,7.38,4.56
14,1.56,Premium,G,SI2,61.7,59,8858,7.51,7.43,4.61
27,1.57,Ideal,E,VS2,60.5,57,17548,7.53,7.57,4.57
39,1.59,NA,D,SI2,61.6,55,8975,7.48,7.45,4.6
52,1.67,Premium,H,SI2,62.6,60,8118,7.57,7.52,4.72
29,2.19,Good,I,SI2,63.7,57,11756,8.23,8.19,5.23
17,NA,Ideal,G,VS1,60.6,57,13034,7.47,7.36,4.49
